Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
112,somalia,4.668,0,0.698,0.268,0.559,0.243,0.27
155,central african republic,3.083,0.026,0,0.105,0.225,0.235,0.035
145,burundi,3.775,0.046,0.447,0.38,0.22,0.176,0.18
141,liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033
127,congo (kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053
114,niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102
150,malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089
123,mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138
129,sierra leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045
142,comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078
143,madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041
139,togo,4.085,0.275,0.572,0.41,0.293,0.177,0.085
151,yemen,3.38,0.287,1.163,0.463,0.143,0.108,0.077
156,south sudan,2.853,0.306,0.575,0.295,0.01,0.202,0.091
120,gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167
147,haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.11
115,burkina faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113
136,uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.06
134,ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.1
132,chad,4.35,0.35,0.766,0.192,0.174,0.198,0.078
154,afghanistan,3.203,0.35,0.517,0.361,0,0.158,0.025
152,rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411
146,zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089
118,guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086
128,mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052
102,benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082
100,nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089
111,senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072
153,tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147
144,lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093
74,tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144
121,kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053
96,cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037
86,kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
125,bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143
99,ivory coast,4.944,0.569,0.808,0.232,0.352,0.154,0.09
122,mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088
109,cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062
138,zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087
98,ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04
149,syria,3.462,0.619,0.378,0.44,0.013,0.331,0.141
59,honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
110,palestinian territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066
103,congo (brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093
67,pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098
71,moldova,5.529,0.685,1.328,0.739,0.245,0.181,0
45,nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127
85,nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
131,myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172
94,vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
41,uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.24
140,india,4.015,0.755,0.765,0.588,0.498,0.2,0.085
105,laos,4.796,0.764,1.03,0.551,0.547,0.266,0.164
61,bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
35,el salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074
27,guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
89,morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
69,philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107
135,swaziland,4.212,0.811,1.149,0,0.313,0.074,0.135
95,bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.167
133,ukraine,4.332,0.82,1.39,0.739,0.178,0.187,0.01
